experiment,model,preprocessing,n_runs,n_converged,convergence_rate,max_n_iter,total_convergence_warnings
factorial,random_forest,none,64,64,1,-1,0
factorial,random_forest,robust,64,64,1,-1,0
factorial,random_forest,standard,64,64,1,-1,0
factorial,sgd_logistic,none,64,64,1,344,0
factorial,sgd_logistic,robust,64,64,1,81,0
factorial,sgd_logistic,standard,64,64,1,61,0
preprocessing_sensitivity,linear_svm,none,1,1,1,17,0
preprocessing_sensitivity,linear_svm,robust,1,1,1,22,0
preprocessing_sensitivity,linear_svm,standard,1,1,1,8,0
preprocessing_sensitivity,logistic,none,1,1,1,7,0
preprocessing_sensitivity,logistic,robust,1,1,1,7,0
preprocessing_sensitivity,logistic,standard,1,1,1,6,0
preprocessing_sensitivity,random_forest,none,1,1,1,-1,0
preprocessing_sensitivity,random_forest,robust,1,1,1,-1,0
preprocessing_sensitivity,random_forest,standard,1,1,1,-1,0
preprocessing_sensitivity,sgd_logistic,none,1,1,1,307,0
preprocessing_sensitivity,sgd_logistic,robust,1,1,1,33,0
preprocessing_sensitivity,sgd_logistic,standard,1,1,1,50,0
seed_sensitivity,linear_svm,standard,30,30,1,8,0
seed_sensitivity,logistic,standard,30,30,1,6,0
seed_sensitivity,random_forest,standard,30,30,1,-1,0
seed_sensitivity,sgd_logistic,standard,30,30,1,55,0
split_sensitivity,linear_svm,standard,30,30,1,9,0
split_sensitivity,logistic,standard,30,30,1,6,0
split_sensitivity,random_forest,standard,30,30,1,-1,0
split_sensitivity,sgd_logistic,standard,30,30,1,57,0
