experiment,model,metric,tolerance,n_runs,n_pairs,n_reproduced_pairs,pairwise_reproduction_rate,ci_lower,ci_upper,ci_method,deterministic_by_construction
split_sensitivity,linear_svm,roc_auc,0.001,30,435,85,0.195402298851,0.118771530835,0.272033066866,jackknife_over_runs_95,False
split_sensitivity,linear_svm,roc_auc,0.005,30,435,340,0.781609195402,0.640436644918,0.922781745887,jackknife_over_runs_95,False
split_sensitivity,linear_svm,roc_auc,0.01,30,435,430,0.988505747126,0.966928519337,1,jackknife_over_runs_95,False
split_sensitivity,logistic,roc_auc,0.001,30,435,88,0.202298850575,0.124674985823,0.279922715327,jackknife_over_runs_95,False
split_sensitivity,logistic,roc_auc,0.005,30,435,334,0.767816091954,0.616090952486,0.919541231422,jackknife_over_runs_95,False
split_sensitivity,logistic,roc_auc,0.01,30,435,429,0.986206896552,0.962380371963,1,jackknife_over_runs_95,False
split_sensitivity,random_forest,roc_auc,0.001,30,435,122,0.280459770115,0.172908249099,0.388011291131,jackknife_over_runs_95,False
split_sensitivity,random_forest,roc_auc,0.005,30,435,361,0.829885057471,0.707592265408,0.952177849534,jackknife_over_runs_95,False
split_sensitivity,random_forest,roc_auc,0.01,30,435,431,0.990804597701,0.973130124958,1,jackknife_over_runs_95,False
split_sensitivity,sgd_logistic,roc_auc,0.001,30,435,77,0.177011494253,0.106059140942,0.247963847563,jackknife_over_runs_95,False
split_sensitivity,sgd_logistic,roc_auc,0.005,30,435,334,0.767816091954,0.614907738782,0.920724445126,jackknife_over_runs_95,False
split_sensitivity,sgd_logistic,roc_auc,0.01,30,435,427,0.981609195402,0.951791391596,1,jackknife_over_runs_95,False
seed_sensitivity,linear_svm,roc_auc,0.001,30,435,435,1,1,1,jackknife_over_runs_95,True
seed_sensitivity,linear_svm,roc_auc,0.005,30,435,435,1,1,1,jackknife_over_runs_95,True
seed_sensitivity,linear_svm,roc_auc,0.01,30,435,435,1,1,1,jackknife_over_runs_95,True
seed_sensitivity,logistic,roc_auc,0.001,30,435,435,1,1,1,jackknife_over_runs_95,True
seed_sensitivity,logistic,roc_auc,0.005,30,435,435,1,1,1,jackknife_over_runs_95,True
seed_sensitivity,logistic,roc_auc,0.01,30,435,435,1,1,1,jackknife_over_runs_95,True
seed_sensitivity,random_forest,roc_auc,0.001,30,435,435,1,1,1,jackknife_over_runs_95,False
seed_sensitivity,random_forest,roc_auc,0.005,30,435,435,1,1,1,jackknife_over_runs_95,False
seed_sensitivity,random_forest,roc_auc,0.01,30,435,435,1,1,1,jackknife_over_runs_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.001,30,435,399,0.91724137931,0.830862892234,1,jackknife_over_runs_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.005,30,435,435,1,1,1,jackknife_over_runs_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.01,30,435,435,1,1,1,jackknife_over_runs_95,False
