experiment,model,split_seed,model_seed,preprocessing,n_train,n_test,converged,convergence_warning_count,n_iter,accuracy,balanced_accuracy,f1,roc_auc,score_kind,n_unique_scores,score_abs_median,prediction_sha256,score_sha256
factorial,sgd_logistic,1729,2718,none,426,143,True,0,59,0.874125874126,0.84570230608,0.905263157895,0.954926624738,decision_function,143,352378.868812,47a3ecbcf3e78f3527ba1b07c5e6c49bd7257cac624c2ee4907755b8398a1a53,f6b159d6f8453667fa4ee272732397f7da2f79b23f187c5411ada9887928bd55
factorial,sgd_logistic,1729,2718,robust,426,143,True,0,24,0.972027972028,0.970020964361,0.977777777778,0.979664570231,decision_function,143,36.3881964063,881487cbfd975ee99941567b546eb2f4e90bafb5cec081f8646965aa10b945b4,57d203c7b3a312276527cdda7097cbb3790a2248a09905edd79747c514b5dfe9
factorial,sgd_logistic,1729,2718,standard,426,143,True,0,40,0.972027972028,0.970020964361,0.977777777778,0.980293501048,decision_function,143,27.5273137883,e937a5e562003bf0e4bdb3241748869b2cd4201a7f6873f350c4a624acdd295b,f65d48a0792ccabfef168cb6343e12fb72437b72ea028340a2b29c12b284fbc4
factorial,sgd_logistic,1729,2719,none,426,143,True,0,45,0.881118881119,0.839622641509,0.913705583756,0.933962264151,decision_function,143,546538.597454,ce7b82c70f976f5ccfe5996d5a88929706c9095f1ff83c4a75505136141891f5,be251dd006af9961a7ea63f38c9d1492901832ded7c355807ab2f51b169effce
factorial,sgd_logistic,1729,2719,robust,426,143,True,0,44,0.965034965035,0.964465408805,0.972067039106,0.980293501048,decision_function,143,21.0470477602,7e8679c23b54f55ad20ab052c1828907cea0eaf4120c13ab0101896dd1924d39,5fd2231a8a79e8514354be4e046d38fd3b6b83d46054ee2d2d9ca16f68a0d0e6
factorial,sgd_logistic,1729,2719,standard,426,143,True,0,24,0.965034965035,0.956708595388,0.972677595628,0.981551362683,decision_function,143,33.7376857835,e629153d7c9f0253eed7e0efef2213f4249e2480163f6cb3a64ec32da7acb3f5,185cc904b2f10f341bfca8f73c13fe1344a6d7752e9c03f372412691120b7611
factorial,sgd_logistic,1730,2718,none,426,143,True,0,86,0.895104895105,0.858490566038,0.923076923077,0.969392033543,decision_function,143,295546.644601,390a0a9baaa1a4a6cc0544fbebb8b9d5db7416cf6955f2f1ca070e7c44d4b654,569d1a421a29216c8fdd05457fea578b57798865ad8b549027bda754bd0979d7
factorial,sgd_logistic,1730,2718,robust,426,143,True,0,46,0.986013986014,0.98501048218,0.988888888889,0.998322851153,decision_function,143,27.2150528807,e07fd47eb230c8a75736888699233fada372581aaa1557d19377af17d893b796,a916a3febb5e5c942754f93f867281fcefd864ad475a72f6e00b73ccda72ec2a
factorial,sgd_logistic,1730,2718,standard,426,143,True,0,28,0.993006993007,0.994444444444,0.994413407821,1,decision_function,143,34.5007207563,b6eab16e748df363c8d4aa1eac244c2c2446f591124e2f006873a2fa708c9013,71f4b974b19e1d88bb31633e37cbd91ce6af6ae201900ac1834958579d6cc9ec
factorial,sgd_logistic,1730,2719,none,426,143,True,0,67,0.93006993007,0.913417190776,0.94623655914,0.971907756813,decision_function,143,288406.763965,5e92165ca8f7855365eedb08ef7e38869e5867c78bf332fdc2f2f1a3475f5d27,04f244bf7fd34a5e805efc928f6b7fcd32df4154058bd2d1ddc604427ddc7038
factorial,sgd_logistic,1730,2719,robust,426,143,True,0,57,0.979020979021,0.975576519916,0.983425414365,0.998742138365,decision_function,143,18.8355607244,8062c6f4be1bd149f5f342b60d918fa6ab711a5bd1a22d449d1ccc83c08819ce,5fc0c3464796bf65cfb91afe3c3eded35aca0a42cd25da385499149b2d045091
factorial,sgd_logistic,1730,2719,standard,426,143,True,0,57,0.979020979021,0.979454926625,0.983240223464,0.998951781971,decision_function,143,18.0883331544,a9bfaaa02301a74f86b95d03d9e201c666a1a9ac78dfe27baff88dee75137715,a9ce2f015d5be295846499661fc8078a7dc2096bbc7ebbdb03d8fc7ec43ba99d
