experiment,model,metric,tolerance,n_runs,n_pairs,n_reproduced_pairs,pairwise_reproduction_rate
split_sensitivity,logistic,roc_auc,0.001,3,3,0,0
split_sensitivity,logistic,roc_auc,0.005,3,3,2,0.666666666667
split_sensitivity,logistic,roc_auc,0.01,3,3,3,1
split_sensitivity,random_forest,roc_auc,0.001,3,3,1,0.333333333333
split_sensitivity,random_forest,roc_auc,0.005,3,3,3,1
split_sensitivity,random_forest,roc_auc,0.01,3,3,3,1
split_sensitivity,sgd_logistic,roc_auc,0.001,3,3,0,0
split_sensitivity,sgd_logistic,roc_auc,0.005,3,3,1,0.333333333333
split_sensitivity,sgd_logistic,roc_auc,0.01,3,3,1,0.333333333333
seed_sensitivity,logistic,roc_auc,0.001,3,3,3,1
seed_sensitivity,logistic,roc_auc,0.005,3,3,3,1
seed_sensitivity,logistic,roc_auc,0.01,3,3,3,1
seed_sensitivity,random_forest,roc_auc,0.001,3,3,3,1
seed_sensitivity,random_forest,roc_auc,0.005,3,3,3,1
seed_sensitivity,random_forest,roc_auc,0.01,3,3,3,1
seed_sensitivity,sgd_logistic,roc_auc,0.001,3,3,0,0
seed_sensitivity,sgd_logistic,roc_auc,0.005,3,3,1,0.333333333333
seed_sensitivity,sgd_logistic,roc_auc,0.01,3,3,3,1
