experiment,model,metric,tolerance,reference,n_replications,n_reproduced,reference_reproduction_rate,ci_lower,ci_upper,ci_method,deterministic_by_construction
split_sensitivity,linear_svm,roc_auc,0.001,0.981341719078,2,0,0,0,0.657619772493,wilson_95,False
split_sensitivity,linear_svm,roc_auc,0.005,0.981341719078,2,0,0,0,0.657619772493,wilson_95,False
split_sensitivity,linear_svm,roc_auc,0.01,0.981341719078,2,0,0,0,0.657619772493,wilson_95,False
split_sensitivity,logistic,roc_auc,0.001,0.993501048218,2,0,0,0,0.657619772493,wilson_95,False
split_sensitivity,logistic,roc_auc,0.005,0.993501048218,2,1,0.5,0.0945312057342,0.905468794266,wilson_95,False
split_sensitivity,logistic,roc_auc,0.01,0.993501048218,2,2,1,0.342380227507,1,wilson_95,False
split_sensitivity,random_forest,roc_auc,0.001,0.996645702306,2,1,0.5,0.0945312057342,0.905468794266,wilson_95,False
split_sensitivity,random_forest,roc_auc,0.005,0.996645702306,2,2,1,0.342380227507,1,wilson_95,False
split_sensitivity,random_forest,roc_auc,0.01,0.996645702306,2,2,1,0.342380227507,1,wilson_95,False
split_sensitivity,sgd_logistic,roc_auc,0.001,0.980293501048,2,0,0,0,0.657619772493,wilson_95,False
split_sensitivity,sgd_logistic,roc_auc,0.005,0.980293501048,2,0,0,0,0.657619772493,wilson_95,False
split_sensitivity,sgd_logistic,roc_auc,0.01,0.980293501048,2,0,0,0,0.657619772493,wilson_95,False
seed_sensitivity,linear_svm,roc_auc,0.001,0.981341719078,2,2,1,0.342380227507,1,wilson_95,True
seed_sensitivity,linear_svm,roc_auc,0.005,0.981341719078,2,2,1,0.342380227507,1,wilson_95,True
seed_sensitivity,linear_svm,roc_auc,0.01,0.981341719078,2,2,1,0.342380227507,1,wilson_95,True
seed_sensitivity,logistic,roc_auc,0.001,0.993501048218,2,2,1,0.342380227507,1,wilson_95,True
seed_sensitivity,logistic,roc_auc,0.005,0.993501048218,2,2,1,0.342380227507,1,wilson_95,True
seed_sensitivity,logistic,roc_auc,0.01,0.993501048218,2,2,1,0.342380227507,1,wilson_95,True
seed_sensitivity,random_forest,roc_auc,0.001,0.996645702306,2,2,1,0.342380227507,1,wilson_95,False
seed_sensitivity,random_forest,roc_auc,0.005,0.996645702306,2,2,1,0.342380227507,1,wilson_95,False
seed_sensitivity,random_forest,roc_auc,0.01,0.996645702306,2,2,1,0.342380227507,1,wilson_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.001,0.980293501048,2,0,0,0,0.657619772493,wilson_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.005,0.980293501048,2,1,0.5,0.0945312057342,0.905468794266,wilson_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.01,0.980293501048,2,2,1,0.342380227507,1,wilson_95,False
